scenario_id,query_id,query_type,repeat_index,same_retrieved_ids,same_scores,same_recall,same_valid_recall,same_stale_rate,same_all,core_retrieved_ids,dual_retrieved_ids,core_eligible_memory_count,dual_eligible_memory_count,dual_source_view,dual_selection_policy
S101_commute_mode,S101_commute_mode_Q_CHANGE,CHANGE,0,True,True,True,True,True,True,"[""S101_commute_mode_M1"", ""S101_commute_mode_M2"", ""S101_commute_mode_M6""]","[""S101_commute_mode_M1"", ""S101_commute_mode_M2"", ""S101_commute_mode_M6""]",,6,current_and_history,current_and_history_no_router
S101_commute_mode,S101_commute_mode_Q_CURRENT,CURRENT,0,True,True,True,True,True,True,"[""S101_commute_mode_M2"", ""S101_commute_mode_M5"", ""S101_commute_mode_M1""]","[""S101_commute_mode_M2"", ""S101_commute_mode_M5"", ""S101_commute_mode_M1""]",,6,current_and_history,current_and_history_no_router
S101_commute_mode,S101_commute_mode_Q_HISTORICAL,HISTORICAL,0,True,True,True,True,True,True,"[""S101_commute_mode_M2"", ""S101_commute_mode_M6"", ""S101_commute_mode_M3""]","[""S101_commute_mode_M2"", ""S101_commute_mode_M6"", ""S101_commute_mode_M3""]",,6,current_and_history,current_and_history_no_router
S102_phone_platform,S102_phone_platform_Q_CHANGE,CHANGE,0,True,True,True,True,True,True,"[""S102_phone_platform_M6"", ""S102_phone_platform_M2"", ""S102_phone_platform_M4""]","[""S102_phone_platform_M6"", ""S102_phone_platform_M2"", ""S102_phone_platform_M4""]",,6,current_and_history,current_and_history_no_router
S102_phone_platform,S102_phone_platform_Q_CURRENT,CURRENT,0,True,True,True,True,True,True,"[""S102_phone_platform_M6"", ""S102_phone_platform_M2"", ""S102_phone_platform_M4""]","[""S102_phone_platform_M6"", ""S102_phone_platform_M2"", ""S102_phone_platform_M4""]",,6,current_and_history,current_and_history_no_router
S102_phone_platform,S102_phone_platform_Q_HISTORICAL,HISTORICAL,0,True,True,True,True,True,True,"[""S102_phone_platform_M2"", ""S102_phone_platform_M6"", ""S102_phone_platform_M4""]","[""S102_phone_platform_M2"", ""S102_phone_platform_M6"", ""S102_phone_platform_M4""]",,6,current_and_history,current_and_history_no_router
S103_work_role,S103_work_role_Q_CHANGE,CHANGE,0,True,True,True,True,True,True,"[""S103_work_role_M4"", ""S103_work_role_M3"", ""S103_work_role_M1""]","[""S103_work_role_M4"", ""S103_work_role_M3"", ""S103_work_role_M1""]",,6,current_and_history,current_and_history_no_router
S103_work_role,S103_work_role_Q_CURRENT,CURRENT,0,True,True,True,True,True,True,"[""S103_work_role_M4"", ""S103_work_role_M1"", ""S103_work_role_M5""]","[""S103_work_role_M4"", ""S103_work_role_M1"", ""S103_work_role_M5""]",,6,current_and_history,current_and_history_no_router
S103_work_role,S103_work_role_Q_HISTORICAL,HISTORICAL,0,True,True,True,True,True,True,"[""S103_work_role_M3"", ""S103_work_role_M2"", ""S103_work_role_M5""]","[""S103_work_role_M3"", ""S103_work_role_M2"", ""S103_work_role_M5""]",,6,current_and_history,current_and_history_no_router
S104_pet_feeding,S104_pet_feeding_Q_CHANGE,CHANGE,0,True,True,True,True,True,True,"[""S104_pet_feeding_M5"", ""S104_pet_feeding_M4"", ""S104_pet_feeding_M3""]","[""S104_pet_feeding_M5"", ""S104_pet_feeding_M4"", ""S104_pet_feeding_M3""]",,6,current_and_history,current_and_history_no_router
S104_pet_feeding,S104_pet_feeding_Q_CURRENT,CURRENT,0,True,True,True,True,True,True,"[""S104_pet_feeding_M5"", ""S104_pet_feeding_M1"", ""S104_pet_feeding_M2""]","[""S104_pet_feeding_M5"", ""S104_pet_feeding_M1"", ""S104_pet_feeding_M2""]",,6,current_and_history,current_and_history_no_router
